t,x,z,th1,th2,dth1,dth2
0.011,2,-0.000463223,-0.000376369,0.000289515,-0.0684307,0.052639
0.0111,2,-0.000471684,-0.000383243,0.000294802,-0.0690528,0.0531176
0.0112,2,-0.000480221,-0.00039018,0.000300138,-0.0696749,0.0535961
0.0113,2,-0.000488835,-0.000397178,0.000305522,-0.070297,0.0540746
0.0114,2,-0.000497525,-0.000404239,0.000310953,-0.0709191,0.0545532
0.0115,2,-0.000506292,-0.000411362,0.000316432,-0.0715412,0.0550317
0.0116,2,-0.000515135,-0.000418547,0.000321959,-0.0721633,0.0555102
0.0117,2,-0.000524055,-0.000425795,0.000327534,-0.0727854,0.0559888
0.0118,2,-0.000533051,-0.000433104,0.000333157,-0.0734075,0.0564673
0.0119,2,-0.000542125,-0.000440476,0.000338828,-0.0740296,0.0569458
0.012,2,-0.000551274,-0.00044791,0.000344546,-0.0746517,0.0574244
0.0121,2,-0.0005605,-0.000455407,0.000350313,-0.0752738,0.0579029
0.0122,2,-0.000569803,-0.000462965,0.000356127,-0.0758959,0.0583815
0.0123,2,-0.000579182,-0.000470586,0.000361989,-0.076518,0.05886
0.0124,2,-0.000588638,-0.000478269,0.000367899,-0.0771401,0.0593385
0.0125,2,-0.000598171,-0.000486014,0.000373857,-0.0777622,0.0598171
0.0126,2,-0.00060778,-0.000493821,0.000379862,-0.0783843,0.0602956
0.0127,2,-0.000617465,-0.000501691,0.000385916,-0.0790064,0.0607741
0.0128,2,-0.000627227,-0.000509622,0.000392017,-0.0796285,0.0612527
0.0129,2,-0.000637066,-0.000517616,0.000398166,-0.0802506,0.0617312
0.013,2,-0.000646981,-0.000525672,0.000404363,-0.0808727,0.0622097
0.0131,2,-0.000656973,-0.000533791,0.000410608,-0.0814948,0.0626883
0.0132,2,-0.000667042,-0.000541971,0.000416901,-0.0821169,0.0631668
0.0133,2,-0.000677187,-0.000550214,0.000423242,-0.082739,0.0636454
0.0134,2,-0.000687408,-0.000558519,0.00042963,-0.0833611,0.0641239
0.0135,2,-0.000697706,-0.000566886,0.000436066,-0.0839832,0.0646024
0.0136,2,-0.000708081,-0.000575316,0.000442551,-0.0846053,0.065081
0.0137,2,-0.000718532,-0.000583807,0.000449083,-0.0852274,0.0655595
0.0138,2,-0.00072906,-0.000592361,0.000455663,-0.0858495,0.066038
0.0139,2,-0.000739664,-0.000600977,0.00046229,-0.0864716,0.0665166
0.014,2,-0.000750345,-0.000609656,0.000468966,-0.0870937,0.0669951
0.0141,2,-0.000761103,-0.000618396,0.000475689,-0.0877158,0.0674736
0.0142,2,-0.000771937,-0.000627199,0.000482461,-0.0883378,0.0679522
0.0143,2,-0.000782848,-0.000636064,0.00048928,-0.0889599,0.0684307
0.0144,2,-0.000793835,-0.000644991,0.000496147,-0.089582,0.0689093
0.0145,2,-0.000804898,-0.00065398,0.000503062,-0.0902041,0.0693878
0.0146,2,-0.000816039,-0.000663032,0.000510024,-0.0908262,0.0698663
0.0147,2,-0.000827256,-0.000672145,0.000517035,-0.0914483,0.0703449
0.0148,2,-0.000838549,-0.000681321,0.000524093,-0.0920704,0.0708234
0.0149,2,-0.000849919,-0.000690559,0.000531199,-0.0926925,0.0713019
