t,th1,th2,dth1,dth2
0.0148,-0.000627897,0.000449299,-0.0848509,0.0607161
0.0149,-0.000636411,0.000455391,-0.0854242,0.0611263
0.015,-0.000644982,0.000461524,-0.0859976,0.0615366
0.0151,-0.00065361,0.000467699,-0.0865709,0.0619468
0.0152,-0.000662296,0.000473914,-0.0871442,0.0623571
0.0153,-0.000671039,0.00048017,-0.0877175,0.0627673
0.0154,-0.000679839,0.000486467,-0.0882908,0.0631775
0.0155,-0.000688697,0.000492805,-0.0888641,0.0635878
0.0156,-0.000697612,0.000499185,-0.0894375,0.063998
0.0157,-0.000706585,0.000505605,-0.0900108,0.0644083
0.0158,-0.000715614,0.000512066,-0.0905841,0.0648185
0.0159,-0.000724701,0.000518569,-0.0911574,0.0652288
0.016,-0.000733846,0.000525112,-0.0917307,0.065639
0.0161,-0.000743048,0.000531697,-0.092304,0.0660493
0.0162,-0.000752307,0.000538322,-0.0928774,0.0664595
0.0163,-0.000761623,0.000544988,-0.0934507,0.0668697
0.0164,-0.000770997,0.000551696,-0.094024,0.06728
0.0165,-0.000780428,0.000558444,-0.0945973,0.0676902
0.0166,-0.000789916,0.000565234,-0.0951706,0.0681005
0.0167,-0.000799462,0.000572065,-0.0957439,0.0685107
0.0168,-0.000809065,0.000578936,-0.0963173,0.068921
0.0169,-0.000818725,0.000585849,-0.0968906,0.0693312
0.017,-0.000828443,0.000592802,-0.0974639,0.0697414
0.0171,-0.000838218,0.000599797,-0.0980372,0.0701517
0.0172,-0.000848051,0.000606833,-0.0986105,0.0705619
0.0173,-0.00085794,0.000613909,-0.0991838,0.0709722
0.0174,-0.000867887,0.000621027,-0.0997572,0.0713824
0.0175,-0.000877892,0.000628186,-0.10033,0.0717927
0.0176,-0.000887953,0.000635386,-0.100904,0.0722029
0.0177,-0.000898072,0.000642626,-0.101477,0.0726131
0.0178,-0.000908249,0.000649908,-0.10205,0.0730234
0.0179,-0.000918483,0.000657231,-0.102624,0.0734336
0.018,-0.000928774,0.000664595,-0.103197,0.0738439
0.0181,-0.000939122,0.000672,-0.10377,0.0742541
0.0182,-0.000949528,0.000679446,-0.104344,0.0746644
0.0183,-0.000959991,0.000686933,-0.104917,0.0750746
